[/player int32:0, float32:-3568.64, float32:7015.56, float32:6594.66, bool:false, float32:1390, float32:53470, float32:2804, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3560.56, float32:7015.34, float32:6643.85, bool:false, float32:1454, float32:53122, float32:2655, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3552.22, float32:7014.78, float32:6692.86, bool:false, float32:1493, float32:53036, float32:2506, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3543.66, float32:7013.89, float32:6741.67, bool:false, float32:1510, float32:52620, float32:2357, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3535.24, float32:7012.61, float32:6790.37, bool:false, float32:1511, float32:52180, float32:2208, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3527, float32:7010.95, float32:6838.95, bool:false, float32:1479, float32:51712, float32:2059, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3518.92, float32:7008.93, float32:6887.4, bool:false, float32:1434, float32:51234, float32:1910, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3511.02, float32:7006.54, float32:6935.73, bool:false, float32:1368, float32:50744, float32:1761, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3503.66, float32:7003.85, float32:6983.99, bool:false, float32:1287, float32:50244, float32:1612, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3496.84, float32:7000.87, float32:7032.18, bool:false, float32:1151, float32:49785, float32:1463, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3490.57, float32:6997.63, float32:7080.28, bool:false, float32:1006, float32:49336, float32:1314, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3484.83, float32:6994.15, float32:7128.3, bool:false, float32:851, float32:48912, float32:1165, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3479.64, float32:6990.43, float32:7176.23, bool:false, float32:693, float32:48504, float32:1016, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3474.98, float32:6986.49, float32:7224.06, bool:false, float32:533, float32:48124, float32:867, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3470.86, float32:6982.35, float32:7271.78, bool:false, float32:378, float32:47759, float32:718, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3467.28, float32:6978.02, float32:7319.41, bool:false, float32:233, float32:47410, float32:569, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3464.22, float32:6973.51, float32:7366.91, bool:false, float32:106, float32:47084, float32:420, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3461.69, float32:6968.84, float32:7414.3, bool:false, float32:65528, float32:46770, float32:271, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3459.68, float32:6964.01, float32:7461.59, bool:false, float32:65438, float32:46484, float32:122, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3458.18, float32:6959.04, float32:7508.76, bool:false, float32:65362, float32:46206, float32:-27, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3457.2, float32:6953.93, float32:7555.79, bool:false, float32:65309, float32:45946, float32:-176, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3456.71, float32:6948.7, float32:7602.68, bool:false, float32:65267, float32:45687, float32:-325, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3456.72, float32:6943.35, float32:7649.43, bool:false, float32:65240, float32:45435, float32:-474, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3457.21, float32:6937.89, float32:7696.04, bool:false, float32:65222, float32:45186, float32:-623, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3458.18, float32:6932.32, float32:7742.5, bool:false, float32:65209, float32:44937, float32:-772, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3459.62, float32:6926.66, float32:7788.83, bool:false, float32:65203, float32:44687, float32:-922, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3461.52, float32:6920.91, float32:7835.05, bool:false, float32:65200, float32:44436, float32:-1071, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3463.88, float32:6915.07, float32:7881.17, bool:false, float32:65198, float32:44363, float32:-964, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3466.36, float32:6908.96, float32:7927.2, bool:false, float32:65197, float32:44296, float32:-867, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3469.2, float32:6902.1, float32:7972.92, bool:false,float32:65197, float32:44231, float32:-780, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3472.4, float32:6894.5, float32:8018.32, bool:false,float32:65197, float32:44169, float32:-702, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3476.65, float32:6884.59, float32:8071.02, bool:false, float32:65197, float32:44110, float32:-632, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3480.83, float32:6874.98, float32:8117.41, bool:false, float32:65197, float32:44055, float32:-569, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3485.01, float32:6865.38, float32:8163.78, bool:false, float32:65197, float32:44003, float32:-512, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3488.82, float32:6856.63, float32:8206.06, bool:false, float32:65197, float32:43956, float32:-461, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3492.8, float32:6847.47, float32:8250.3, bool:false,float32:65197, float32:43912, float32:-415, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3497.27, float32:6837.19, float32:8299.91, bool:false, float32:65197, float32:43872, float32:-373, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3500.94, float32:6828.76, float32:8340.67, bool:false, float32:65197, float32:43836, float32:-336, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3504.69, float32:6820.13, float32:8382.31, bool:false, float32:65197, float32:43804, float32:-302, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3508.1, float32:6812.29, float32:8420.19, bool:false, float32:65197, float32:43777, float32:-272, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3511.67, float32:6804.09, float32:8459.78, bool:false, float32:65197, float32:43754, float32:-245, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3515.81, float32:6794.56, float32:8505.83, bool:false, float32:65197, float32:43735, float32:-220, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3519.07, float32:6787.07, float32:8541.99, bool:false, float32:65197, float32:43721, float32:-198, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3522.35, float32:6779.53, float32:8578.41, bool:false, float32:65197, float32:43711, float32:-178, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3525.32, float32:6772.71, float32:8611.38, bool:false, float32:65197, float32:43706, float32:-160, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3529.06, float32:6764.12, float32:8652.87, bool:false, float32:65197, float32:43706, float32:-144, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3531.95, float32:6757.47, float32:8684.98, bool:false, float32:65197, float32:43709, float32:-130, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3534.88, float32:6750.72, float32:8717.55, bool:false, float32:65197, float32:43712, float32:-117, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3537.72, float32:6744.21, float32:8749.01, bool:false, float32:65197, float32:43714, float32:-105, float32:0, float32:0, float32:0]
